College,Department,Prefix,Number,Title
,,,,
Muma College of Business,Dean's Office (BU),ACG,5007,MBA Essentials: Accounting
Muma College of Business,Dean's Office (BU),ECO,5060,MBA Essentials: Economics
Muma College of Business,Dean's Office (BU),ECO,6419,Managerial Analysis
Muma College of Business,Dean's Office (BU),FIN,5006,MBA Essentials: Finance
Muma College of Business,Dean's Office (BU),GEB,6458,Managing Global Sustainability
Muma College of Business,Dean's Office (BU),GEB,7980,Dissertation
Muma College of Business,Dean's Office (BU),GEB,7982,Research Skills
Muma College of Business,Dean's Office (BU),ISM,5001,MBA Essentials: Management Information Systems
Muma College of Business,Dean's Office (BU),MAN,5002,MBA Essentials: Management
Muma College of Business,Dean's Office (BU),MAN,5509,MBA Essentials: Operations Management
Muma College of Business,Dean's Office (BU),MAR,5001,MBA Essentials: Marketing
Muma College of Business,Dean's Office (BU),QMB,5010,MBA Essentials: Business Statistics
Muma College of Business,Dean's Office (BU),QMB,6303,Applied Business Analytics
Muma College of Business,Dean's Office (BU),QMB,6357,Statistics for Business Professionals
Patel College of Global Sustainability,Dean's Office (CS),IDS,6207,Renewable Transportation Fuels
Patel College of Global Sustainability,Dean's Office (CS),IDS,6208,Renewable Power Portfolio
Patel College of Global Sustainability,Dean's Office (CS),IDS,6210,Bioresources for a Sustainable Future
Patel College of Global Sustainability,Dean's Office (CS),IDS,6216,Implementing the United Nations Sustainable Development Goals
Patel College of Global Sustainability,Dean's Office (CS),IDS,6233,Concepts and Principles of Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6234,Systems Thinking: The Key to Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6235,Economics and Finance for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6236,Sustainable Tourism Development: Principles & Practices
Patel College of Global Sustainability,Dean's Office (CS),IDS,6237,Ecotourism and Sustainable Tourism Management for Coastal Habitat and Marine Protection
Patel College of Global Sustainability,Dean's Office (CS),IDS,6239,Principles of Six Sigma for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6244,"Waste Not, Want Not: Reconsidering Waste, Repurposing Wasted Resources"
Patel College of Global Sustainability,Dean's Office (CS),IDS,6245,Sustainable Water Resource Management: Doing More with Less
Patel College of Global Sustainability,Dean's Office (CS),IDS,6246,Water Sensitive Urban Design for Sustainable Communities
Patel College of Global Sustainability,Dean's Office (CS),IDS,6247,Water Resources Planning
Patel College of Global Sustainability,Dean's Office (CS),IDS,6270,Sustainable Food Production
Patel College of Global Sustainability,Dean's Office (CS),IDS,6271,"The Future of Food: Environment, Health and Policy"
Patel College of Global Sustainability,Dean's Office (CS),IDS,6272,Research Methods for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6275,Policy for Sustainability
Patel College of Global Sustainability,Dean's Office (CS),IDS,6276,Navigating the Sustainable Food/Energy/Water Nexus
Patel College of Global Sustainability,Dean's Office (CS),IDS,6280,Climate Change Adaptation and Mitigation
Patel College of Global Sustainability,Dean's Office (CS),IDS,6707,Envisioning Sustainability: Tools for 21st Century Communicators of Sustainability Science
Patel College of Global Sustainability,Dean's Office (CS),IDS,6908,Directed Reading/Directed Independent Study
Patel College of Global Sustainability,Dean's Office (CS),IDS,6935,Capstone Research Project
Patel College of Global Sustainability,Dean's Office (CS),IDS,6938,Special Topics/Seminars
Patel College of Global Sustainability,Dean's Office (CS),IDS,6946,Sustainability Internship
Morsani College of Medicine,Dean's Office (MD),PAS,5101,Advanced Internal Medicine Clinical Rotation
Morsani College of Medicine,Dean's Office (MD),PAS,6001,Patient Evaluation and Hospital Practicum
Morsani College of Medicine,Dean's Office (MD),PAS,6002,Cultural Issues in Healthcare
Morsani College of Medicine,Dean's Office (MD),PAS,6003,Physical Diagnosis
Morsani College of Medicine,Dean's Office (MD),PAS,6004,Clinical Problem Solving/Differential Diagnosis
Morsani College of Medicine,Dean's Office (MD),PAS,6005,Behavioral Medicine
Morsani College of Medicine,Dean's Office (MD),PAS,6007,Clinical Skills and Procedures
Morsani College of Medicine,Dean's Office (MD),PAS,6008,Advanced Clinical Practicum
Morsani College of Medicine,Dean's Office (MD),PAS,6010,Human Physiology
Morsani College of Medicine,Dean's Office (MD),PAS,6011,Clinical Medicine I
Morsani College of Medicine,Dean's Office (MD),PAS,6012,Clinical Medicine II
Morsani College of Medicine,Dean's Office (MD),PAS,6013,Evidence-Based Medicine
