,College,Department,Title,tags,courses
1,Muma College of Business,Dean's Office (BU),MBA Essentials: Accounting,Business,ACG 5007
2,Muma College of Business,Dean's Office (BU),MBA Essentials: Economics,Business,ECO 5060
3,Muma College of Business,Dean's Office (BU),Managerial Analysis,Business,ECO 6419
4,Muma College of Business,Dean's Office (BU),MBA Essentials: Finance,Business,FIN 5006
5,Muma College of Business,Dean's Office (BU),Managing Global Sustainability,Business,GEB 6458
6,Muma College of Business,Dean's Office (BU),Dissertation,Business,GEB 7980
7,Muma College of Business,Dean's Office (BU),Research Skills,Business,GEB 7982
8,Muma College of Business,Dean's Office (BU),MBA Essentials: Management Information Systems,Business,ISM 5001
9,Muma College of Business,Dean's Office (BU),MBA Essentials: Management,Business,MAN 5002
10,Muma College of Business,Dean's Office (BU),MBA Essentials: Operations Management,Business,MAN 5509
11,Muma College of Business,Dean's Office (BU),MBA Essentials: Marketing,Business,MAR 5001
12,Muma College of Business,Dean's Office (BU),MBA Essentials: Business Statistics,Business,QMB 5010
13,Muma College of Business,Dean's Office (BU),Applied Business Analytics,Business,QMB 6303
14,Muma College of Business,Dean's Office (BU),Statistics for Business Professionals,Business,QMB 6357
15,Patel College of Global Sustainability,Dean's Office (CS),Renewable Transportation Fuels,Global Sustainability,IDS 6207
16,Patel College of Global Sustainability,Dean's Office (CS),Renewable Power Portfolio,Global Sustainability,IDS 6208
17,Patel College of Global Sustainability,Dean's Office (CS),Bioresources for a Sustainable Future,Global Sustainability,IDS 6210
18,Patel College of Global Sustainability,Dean's Office (CS),Implementing the United Nations Sustainable Development Goals,Global Sustainability,IDS 6216
19,Patel College of Global Sustainability,Dean's Office (CS),Concepts and Principles of Sustainability,Global Sustainability,IDS 6233
20,Patel College of Global Sustainability,Dean's Office (CS),Systems Thinking: The Key to Sustainability,Global Sustainability,IDS 6234
21,Patel College of Global Sustainability,Dean's Office (CS),Economics and Finance for Sustainability,Global Sustainability,IDS 6235
22,Patel College of Global Sustainability,Dean's Office (CS),Sustainable Tourism Development: Principles & Practices,Global Sustainability,IDS 6236
23,Patel College of Global Sustainability,Dean's Office (CS),Ecotourism and Sustainable Tourism Management for Coastal Habitat and Marine Protection,Global Sustainability,IDS 6237
24,Patel College of Global Sustainability,Dean's Office (CS),Principles of Six Sigma for Sustainability,Global Sustainability,IDS 6239
25,Patel College of Global Sustainability,Dean's Office (CS),"Waste Not, Want Not: Reconsidering Waste, Repurposing Wasted Resources",Global Sustainability,IDS 6244
26,Patel College of Global Sustainability,Dean's Office (CS),Sustainable Water Resource Management: Doing More with Less,Global Sustainability,IDS 6245
27,Patel College of Global Sustainability,Dean's Office (CS),Water Sensitive Urban Design for Sustainable Communities,Global Sustainability,IDS 6246
28,Patel College of Global Sustainability,Dean's Office (CS),Water Resources Planning,Global Sustainability,IDS 6247
29,Patel College of Global Sustainability,Dean's Office (CS),Sustainable Food Production,Global Sustainability,IDS 6270
30,Patel College of Global Sustainability,Dean's Office (CS),"The Future of Food: Environment, Health and Policy",Global Sustainability,IDS 6271
31,Patel College of Global Sustainability,Dean's Office (CS),Research Methods for Sustainability,Global Sustainability,IDS 6272
32,Patel College of Global Sustainability,Dean's Office (CS),Policy for Sustainability,Global Sustainability,IDS 6275
33,Patel College of Global Sustainability,Dean's Office (CS),Navigating the Sustainable Food/Energy/Water Nexus,Global Sustainability,IDS 6276
34,Patel College of Global Sustainability,Dean's Office (CS),Climate Change Adaptation and Mitigation,Global Sustainability,IDS 6280
35,Patel College of Global Sustainability,Dean's Office (CS),Envisioning Sustainability: Tools for 21st Century Communicators of Sustainability Science,Global Sustainability,IDS 6707
36,Patel College of Global Sustainability,Dean's Office (CS),Directed Reading/Directed Independent Study,Global Sustainability,IDS 6908
37,Patel College of Global Sustainability,Dean's Office (CS),Capstone Research Project,Global Sustainability,IDS 6935
38,Patel College of Global Sustainability,Dean's Office (CS),Special Topics/Seminars,Global Sustainability,IDS 6938
39,Patel College of Global Sustainability,Dean's Office (CS),Sustainability Internship,Global Sustainability,IDS 6946
40,Morsani College of Medicine,Dean's Office (MD),Advanced Internal Medicine Clinical Rotation,Health,PAS 5101
41,Morsani College of Medicine,Dean's Office (MD),Patient Evaluation and Hospital Practicum,Health,PAS 6001
42,Morsani College of Medicine,Dean's Office (MD),Cultural Issues in Healthcare,Health,PAS 6002
43,Morsani College of Medicine,Dean's Office (MD),Physical Diagnosis,Health,PAS 6003
44,Morsani College of Medicine,Dean's Office (MD),Clinical Problem Solving/Differential Diagnosis,Health,PAS 6004
45,Morsani College of Medicine,Dean's Office (MD),Behavioral Medicine,Health,PAS 6005
46,Morsani College of Medicine,Dean's Office (MD),Clinical Skills and Procedures,Health,PAS 6007
47,Morsani College of Medicine,Dean's Office (MD),Advanced Clinical Practicum,Health,PAS 6008
48,Morsani College of Medicine,Dean's Office (MD),Human Physiology,Health,PAS 6010
49,Morsani College of Medicine,Dean's Office (MD),Clinical Medicine I,Health,PAS 6011
50,Morsani College of Medicine,Dean's Office (MD),Clinical Medicine II,Health,PAS 6012
51,Morsani College of Medicine,Dean's Office (MD),Evidence-Based Medicine,Health,PAS 6013
52,Morsani College of Medicine,Dean's Office (MD),Biostatistics and Epidemiology,Health,PAS 6021
53,Morsani College of Medicine,Dean's Office (MD),Anatomy with Lab I,Health,PAS 6022
54,Morsani College of Medicine,Dean's Office (MD),Clinical Pharmacology I,Health,PAS 6023
55,Morsani College of Medicine,Dean's Office (MD),Anatomy with Lab II,Health,PAS 6024
56,Morsani College of Medicine,Dean's Office (MD),Clinical Pharmacology II,Health,PAS 6026
